categoryid,parentid,level,name,avg_age,preferred_platform,engagement_score,full_path
140,0,Top-Level,1016,35,edX,4.453561990521848,NA
231,0,Top-Level,1016,26,Coursera,44.68744667246938,NA
250,0,Top-Level,1016,18,edX,79.10946749616414,NA
378,0,Top-Level,1016,38,edX,45.02662275917828,NA
395,0,Top-Level,1016,31,UpGrad,36.717473971657455,NA
431,0,Top-Level,1016,31,Coursera,28.4959469223395,NA
653,0,Top-Level,1016,35,UpGrad,64.13258439861238,NA
659,0,Top-Level,1016,33,Coursera,58.20275063160807,NA
679,0,Top-Level,1016,29,UpGrad,81.20170223992318,NA
755,0,Top-Level,1016,18,Coursera,38.8949322514236,NA
791,0,Top-Level,1016,20,Coursera,75.6827468983829,NA
803,0,Top-Level,1016,35,UpGrad,90.22277556359768,NA
859,0,Top-Level,1016,20,edX,34.166828310117126,NA
1057,0,Top-Level,1016,32,UpGrad,12.453805818222463,NA
1182,0,Top-Level,1016,26,edX,37.40766569972038,NA
1224,0,Top-Level,1016,37,Coursera,34.519320470280945,NA
1394,0,Top-Level,1016,23,Coursera,82.76552462484688,NA
1452,0,Top-Level,1016,25,edX,28.83474575355649,NA
1482,0,Top-Level,1016,31,Coursera,92.89199854247272,NA
1490,0,Top-Level,1016,24,UpGrad,91.0744653781876,NA
1532,0,Top-Level,1016,35,edX,12.38892066758126,NA
1579,0,Top-Level,1016,21,Coursera,99.94210652075708,NA
1600,0,Top-Level,1016,23,UpGrad,42.48048437293619,NA
1692,0,Top-Level,1016,30,Coursera,76.83741904329509,NA
1698,0,Top-Level,1016,36,edX,88.092329679057,NA
70,8,Sub-Category,1016,32,UpGrad,63.04895339999348,NA > NA > NA > NA
397,8,Sub-Category,1016,35,Coursera,23.546262341551483,NA > NA > NA > NA
681,8,Sub-Category,1016,26,UpGrad,68.0446628946811,NA > NA > NA > NA
1225,8,Sub-Category,1016,30,UpGrad,8.511409792117774,NA > NA > NA > NA
1230,8,Sub-Category,1016,18,edX,71.24103587120771,NA > NA > NA > NA
142,9,Sub-Category,1016,27,Coursera,17.992577934637666,NA > NA > NA > NA
570,9,Sub-Category,1016,19,Coursera,48.01001858431846,NA > NA > NA > NA
625,9,Sub-Category,1016,39,Coursera,71.42710965126753,NA > NA > NA > NA
916,9,Sub-Category,1016,36,Coursera,2.589115616865456,NA > NA > NA > NA
1189,9,Sub-Category,1016,26,UpGrad,67.07188095897436,NA > NA > NA > NA
1295,9,Sub-Category,1016,28,edX,55.05335992202163,NA > NA > NA > NA
165,14,Sub-Category,1016,29,Coursera,45.772480382584035,NA > NA > NA > NA
789,14,Sub-Category,1016,36,edX,93.56741518713534,NA > NA > NA > NA
892,14,Sub-Category,1016,21,Coursera,99.45393421221524,NA > NA > NA > NA
1117,14,Sub-Category,1016,22,UpGrad,30.230432748794556,NA > NA > NA > NA
1184,14,Sub-Category,1016,34,UpGrad,99.9179074773565,NA > NA > NA > NA
1415,14,Sub-Category,1016,37,Coursera,86.2080103252083,NA > NA > NA > NA
1573,14,Sub-Category,1016,18,Coursera,71.45240707322955,NA > NA > NA > NA
1297,19,Sub-Category,1016,36,edX,75.25388933718204,NA > NA > NA > NA > NA
35,20,Sub-Category,1016,40,UpGrad,34.93580056820065,NA > NA > NA > NA
295,20,Sub-Category,1016,23,Coursera,86.07451349962503,NA > NA > NA > NA
928,20,Sub-Category,1016,38,Coursera,43.09712313115597,NA > NA > NA > NA
973,20,Sub-Category,1016,23,Coursera,16.42091136891395,NA > NA > NA > NA
1153,20,Sub-Category,1016,20,edX,67.77930434327573,NA > NA > NA > NA
393,25,Sub-Category,1016,30,edX,41.98841324541718,NA > NA > NA
486,25,Sub-Category,1016,20,UpGrad,3.294766996987164,NA > NA > NA
709,25,Sub-Category,1016,40,UpGrad,55.885557434521616,NA > NA > NA
811,25,Sub-Category,1016,25,edX,58.006328041665256,NA > NA > NA
1060,25,Sub-Category,1016,38,edX,80.48857892863452,NA > NA > NA
1261,25,Sub-Category,1016,24,UpGrad,90.73945335112512,NA > NA > NA
1282,25,Sub-Category,1016,24,edX,51.39524997211993,NA > NA > NA
1343,25,Sub-Category,1016,24,UpGrad,16.899150470271707,NA > NA > NA
151,33,Sub-Category,1016,38,UpGrad,92.34494981355965,NA > NA > NA
208,33,Sub-Category,1016,36,Coursera,15.318840742111206,NA > NA > NA
269,33,Sub-Category,1016,40,Coursera,17.32629283796996,NA > NA > NA
839,33,Sub-Category,1016,32,Coursera,6.375472224317491,NA > NA > NA
548,38,Sub-Category,1016,22,Coursera,21.50358206126839,NA > NA > NA > NA
784,38,Sub-Category,1016,20,UpGrad,48.40535668190569,NA > NA > NA > NA
1470,44,Sub-Category,1016,27,Coursera,82.15186819434166,NA > NA > NA > NA
423,47,Sub-Category,1016,27,edX,92.2334591858089,NA > NA > NA > NA
376,48,Sub-Category,1016,37,Coursera,84.69054631423205,NA > NA > NA > NA
328,54,Sub-Category,1016,29,Coursera,67.76296854950488,NA > NA > NA > NA
612,54,Sub-Category,1016,26,UpGrad,33.01960998214781,NA > NA > NA > NA
296,55,Sub-Category,1016,26,Coursera,78.91803486272693,NA > NA > NA
425,55,Sub-Category,1016,25,Coursera,1.1011762544512749,NA > NA > NA
